name,price_mkd,image_url,source,in_stock
ASUS DUAL-RTX5060-O8G,23999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17751_ASUS DUAL-RTX5060-O8G-01JXW9HBFF2W4YXAJYF4JX1XQV.jpg,setec,yes
Графичка картичка Sparkle Arc A770 ROC Black 16GB GDDR6,24090,https://50cdn.gjirafamall.tech/images/d75aeefe-967f-4278-bf47-e4830efec5d3/d75aeefe-967f-4278-bf47-e4830efec5d3.jpeg,gjirafa50,no
"Графичка картичка ASRock Intel Arc B570 Challenger, 10GB GDDR6, 160 bit, црна",24290,https://50cdn.gjirafamall.tech/images/6a64630d-bb06-429e-be11-73a0f71a2284/6a64630d-bb06-429e-be11-73a0f71a2284.jpeg,gjirafa50,no
Графичка картичка Inno3D GeForce RTX 3050 Twin X2 8GB GDDR6,24490,https://50cdn.gjirafamall.tech/images/3c2d086a-7451-42ff-8c6f-20d4cd08e099/3c2d086a-7451-42ff-8c6f-20d4cd08e099.jpeg,gjirafa50,yes
ASUS DUAL-RTX5060-O8G-WHITE,24499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88801_ASUS%20DUAL-RTX5060-O8G-WHITE-01KVA90RGP9BRGS0QWV52Z8D9C.jpg,setec,yes
Графичка картичка ASRock Radeon RX 7600 Steel Legend 8GB OC,24590,https://50cdn.gjirafamall.tech/images/5b36337d-9f4e-45e6-8256-81766eb570de/5b36337d-9f4e-45e6-8256-81766eb570de.jpeg,gjirafa50,no
Графичка картичка XFX Speedster SWFT 210 Radeon RX 7600 8GB GDDR6,24790,https://50cdn.gjirafamall.tech/images/78ca7c75-aeb7-49f7-b836-f9e37ffd2445/78ca7c75-aeb7-49f7-b836-f9e37ffd2445.jpeg,gjirafa50,yes
ASUS DUAL-RTX4060TI-O8G-WHITE,24995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17435_0-01JVA6E30BZEFN38EEVDVS7KBQ.webp,setec,yes
ASUS PRIME-RTX5060-O8G,24999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17754_ASUS%20PRIME-RTX5060-O8G-01KMMQPKMYQ9SBTP1A3S5FNRTQ.jpg,setec,yes
Графичка картичка Zotac Gaming GeForce RTX 3050 Eco 8GB GDDR6,25090,https://50cdn.gjirafamall.tech/images/3b9c4561-d4ce-49a0-b0cb-d2a5ad7cddc9/3b9c4561-d4ce-49a0-b0cb-d2a5ad7cddc9.jpeg,gjirafa50,yes
Графичка картичка ASRock Radeon RX 7600 Challenger OC 8GB GDDR6,25390,https://50cdn.gjirafamall.tech/images/19345825-82b4-424a-a20c-3ea78096da99/19345825-82b4-424a-a20c-3ea78096da99.jpeg,gjirafa50,yes
ASUS DUAL-RX9060XT-8G,25495,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17746_0-01JXD39PAR71R3ND89T2YB9GMR.jpg,setec,yes
ASUS DUAL-RTX4060TI-O8G-SSD,25995,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/17690_0-01JVA6FZ7ER8TPXQ13RVZASKK1.webp,setec,yes
