name,price_mkd,image_url,source,in_stock
"Процесор Intel Core i5-12400F (CM8071504650609), 2,5 GHz, 6 јадра, сокет 1700, 18 MB, OEM",11890,https://50cdn.gjirafamall.tech/images/a1b2d726-1217-49b1-840c-0601603bac27/a1b2d726-1217-49b1-840c-0601603bac27.jpeg,gjirafa50,yes
Процесор AMD Ryzen 5 8600G,11950,https://50cdn.gjirafamall.tech/images/e211f3c2-dda2-4f95-82d8-776048bc1b78/e211f3c2-dda2-4f95-82d8-776048bc1b78.jpeg,gjirafa50,yes
"Procesor Intel Core i5-14400F, 2.5GHz, 20MB, OEM",12890,https://50cdn.gjirafamall.tech/images/ee6a9319-85d5-490a-94cb-dc6e4107e9d5/ee6a9319-85d5-490a-94cb-dc6e4107e9d5.jpeg,gjirafa50,yes
CPU Intel Core i5-14400 10-Core E1.8GHz/P2.5GHz 20MB Cache LGA1700 BOX,12999,https://www.neptun.mk/2024/11/11/3096368-l0_1f5bb1a4-f4db-4688-8671-2ba8cdd988d8.jpg,neptun,no
[OUTLET] Procesor AMD Ryzen 5 7600X,13090,https://50cdn.gjirafamall.tech/images/13ad29b7-15e6-42d7-b25e-ced218b7be0e/13ad29b7-15e6-42d7-b25e-ced218b7be0e.jpeg,gjirafa50,yes
"Процесор AMD Ryzen 5 5600X, 3.7 GHz, 32 MB, OEM",13090,https://50cdn.gjirafamall.tech/images/b7a7d825-6270-407c-99e2-61716f3606e5/b7a7d825-6270-407c-99e2-61716f3606e5.jpeg,gjirafa50,yes
"Procesor AMD Ryzen 5 8600G (100-100001237BOX), 4.3 GHz, 6 bërthama, Socket AM5, 16 MB",13490,https://50cdn.gjirafamall.tech/images/9b9034d6-98d4-44a4-b8c8-c05c2ca289b8/9b9034d6-98d4-44a4-b8c8-c05c2ca289b8.jpeg,gjirafa50,yes
CPU AMD Ryzen 5 7500X 3D Tray,13499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88506_CPU AMD Ryzen 5 7500X 3D Tray-01KCR85BR0QCY9DWQMXCV69D71.jpg,setec,yes
CPU AMD Ryzen 7 7700X 4.50GHZ 8 CORE/SKT AM5 /  105W up to 142W TRAY SP,13499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63350_CPU AMD Ryzen 7 7700X 4.50GHZ 8 CORE_SKT AM5 40MB 105W TRAY SP-01K10T25YJ5H5QF00QC7D3QP8M.jpg,setec,yes
CPU AMD Ryzen 7 7700X 8-Core 4.5GHz 32MB Cache AM5 w/o Cooler BOX,13499,https://www.neptun.mk/2024/11/12/100-100000591WOF11024x_af07b8ee-c853-4430-844c-042aaa56382d.webp,neptun,no
Intel Core Ultra 5 250KF Plus no fan BOX,13999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88756_Intel%20Core%20Ultra%205%20250KF%20no%20fan%20BOX-01KR15W4J1MMV6NHCPFGAAX5G8.jpg,setec,yes
"Процесор AMD Ryzen 5 7600 (100-000001015), 6 јадра, Socket AM5, 3.8 GHz, 32 MB кеш меморија, OEM",14090,https://50cdn.gjirafamall.tech/images/598fa1c7-72d6-4ecb-aba7-40ae66d27939/598fa1c7-72d6-4ecb-aba7-40ae66d27939.jpeg,gjirafa50,yes
Процесор Intel Core i5-14400F,14390,https://50cdn.gjirafamall.tech/images/19614ce1-729e-4df1-aa76-2f968767e337/19614ce1-729e-4df1-aa76-2f968767e337.jpeg,gjirafa50,yes
CPU AMD Ryzen 7 5700X 3D no fan Box,14799,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/59069_0-01JVYCQQ3VMZ6D29YMEPSVKFJ9.webp,setec,no
"Procesor AMD Ryzen 7 7700, 3.8 GHz, 32 MB Cache, i zi",14890,https://50cdn.gjirafamall.tech/images/84b01372-4f66-42d7-ab34-54c4279b31a6/84b01372-4f66-42d7-ab34-54c4279b31a6.jpeg,gjirafa50,yes
CPU AMD Ryzen 5 7500X 3D 4.5GHz / 6 Core / 102MB /  AM5 / 65W,14999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88414_CPU AMD Ryzen 5 7500X 3D 4.5GHz _ 6 Core _ 102MB _ AM5 _ 65W-01KA0V76TTNWWQC022Q2PZGNWT.jpg,setec,yes
CPU AMD Ryzen 7 7700X no fan Box,14999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34419_0-01JVYC85EBZC7ZZCWST1JVAN17.webp,setec,no
"Процесор AMD Ryzen 5 9600X, 3,9 GHz, 32 MB, BOX",15190,https://50cdn.gjirafamall.tech/images/733900d1-f9a1-4e16-ad01-9439b44d086a/733900d1-f9a1-4e16-ad01-9439b44d086a.jpeg,gjirafa50,yes
Intel i5-14400 BOX LGA1700 20MB Cache 4.7GHz,15499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/59111_0-01JVA78BVNX2HHD11H5K9G0E9F.webp,setec,yes
"Процесор AMD Ryzen 7 5700G, 3.8 GHz, 16 MB кеш, OEM",15990,https://50cdn.gjirafamall.tech/images/e4d2e1c8-5aa5-4a80-bc2b-ffc7160526b4/e4d2e1c8-5aa5-4a80-bc2b-ffc7160526b4.jpeg,gjirafa50,yes
CPU AMD Ryzen 5 7500X3D 6-Core 4GHz 96MB Cache AM5 w/o Cooler,15999,https://www.neptun.mk/2026/01/12/image-Photoroom-2026-01-11T201201.420_102ad24a-31a9-43cc-8914-9faea8c8641e.png,neptun,no
"Procesor Intel Core i3-13100, 3.4 GHz, 12 MB, OEM",16190,https://50cdn.gjirafamall.tech/images/0e3a75ca-dca6-4d53-9379-07ba2aaf539c/0e3a75ca-dca6-4d53-9379-07ba2aaf539c.jpeg,gjirafa50,no
Процесор AMD Ryzen 7 5800X,16250,https://50cdn.gjirafamall.tech/images/4f315bcf-c6cd-4e9a-ab48-bc654d12d8ce/4f315bcf-c6cd-4e9a-ab48-bc654d12d8ce.jpeg,gjirafa50,yes
"Процесор Intel Core i5-9500F (CM8068403362610), 3GHz, 9MB, OEM",16290,https://50cdn.gjirafamall.tech/images/83fca641-546d-4dee-902d-e9f716acf92d/83fca641-546d-4dee-902d-e9f716acf92d.jpeg,gjirafa50,yes
"Процесор AMD Ryzen 5 5600GT, 3.6 GHz, 16 MB, BOX",16390,https://50cdn.gjirafamall.tech/images/3b9e718c-7aea-4705-9c6b-5713308c7872/3b9e718c-7aea-4705-9c6b-5713308c7872.jpeg,gjirafa50,no
Intel Core Ultra 5 250K Plus no fan BOX,16499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/88755_Intel%20Core%20Ultra%205%20250K%20no%20fan%20BOX-01KR15H9SEYQK4588NW2CV1HXA.jpg,setec,no
"Процесор Intel Core i5-13400F, 2,5 GHz, 20 MB Cache, 10 јадра, OEM",16790,https://50cdn.gjirafamall.tech/images/da6bc2c7-bdf5-4b51-b69f-faa775c9d976/da6bc2c7-bdf5-4b51-b69f-faa775c9d976.jpeg,gjirafa50,no
CPU AMD Ryzen 7 7800X 3D no fan tray,17499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/58900_0-01JVA7802D6NR36KTMF4SKPXAP.webp,setec,yes
CPU AMD Ryzen 9 7900X no fan Box,17499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34420_0-01JVA6VPF8BK7BTJQ4RBQ3TS4B.webp,setec,yes
"Процесор Intel Core i5-14400 (CM8071504821112), 2.5 GHz, 10 јадра, сокет 1700, 20 MB кеш, OEM",17590,https://50cdn.gjirafamall.tech/images/657ee733-ad03-4775-a10e-274fc49ec426/657ee733-ad03-4775-a10e-274fc49ec426.jpeg,gjirafa50,yes
Procesor Intel Core i5-14600KF,17790,https://50cdn.gjirafamall.tech/images/6e766be2-bf07-45f3-aa98-24a5ad7acda8/6e766be2-bf07-45f3-aa98-24a5ad7acda8.jpeg,gjirafa50,yes
Процесор Intel Core i5-13600KF,17890,https://50cdn.gjirafamall.tech/images/c955100b-3c8f-46eb-bb67-1a0d40f01f0b/c955100b-3c8f-46eb-bb67-1a0d40f01f0b.jpeg,gjirafa50,no
CPU AMD Ryzen 9 7900X 12-Core 4.7GHz 64MB Cache AM5 w/o Cooler BOX,17999,https://www.neptun.mk/2025/09/15/image-Photoroom1054_cd7eb8e1-97ab-4015-a926-61b96f630f0e.png,neptun,no
Intel Core Ultra 7 265K no fan Tray,17999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63176_Intel Core Ultra 7 265K no fan Tray-01JZ09EHRJEZMHP2SQQ4T2X26R.jpg,setec,yes
Intel Core Ultra 7 265KF no fan BOX,17999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/61654_0-01JVA7DBFCF0GMN5CWBFYDFBG6.webp,setec,yes
"Procesor Intel Core i5-12600KF, 3.7 GHz, 20 MB, BOX",18090,https://50cdn.gjirafamall.tech/images/b69c5f6b-ba53-4427-b6b9-7a8dafb54d5b/b69c5f6b-ba53-4427-b6b9-7a8dafb54d5b.jpeg,gjirafa50,yes
"Процесор Intel Core i7-12700KF, 3.6 GHz, 25 MB, OEM",18990,https://50cdn.gjirafamall.tech/images/81af029e-d2dc-44d6-9dd9-a7dd286ea112/81af029e-d2dc-44d6-9dd9-a7dd286ea112.jpeg,gjirafa50,yes
Intel Core Ultra 7 265K no fan BOX,18999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/61656_0-01JVYD9D7RV9NGQV6KTZ9JYDR7.webp,setec,yes
Intel i7-14700F LGA1700X 33MB Cache 5.4GHz Box,18999,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/59110_0-01JVA78BGVXZVXYD4T84F9D2FT.webp,setec,yes
"Процесор Intel Core i5-13600KF, 3.5 GHz, 24 MB, OEM",19790,https://50cdn.gjirafamall.tech/images/ee2f3374-2f65-4760-ae74-cf7e9cca8641/ee2f3374-2f65-4760-ae74-cf7e9cca8641.jpeg,gjirafa50,no
Procesor Intel Core i5-14500,20490,https://50cdn.gjirafamall.tech/images/9fdb42e8-c515-401c-8eac-c4682a4e5fa3/9fdb42e8-c515-401c-8eac-c4682a4e5fa3.jpeg,gjirafa50,yes
CPU AMD Ryzen 7 7800X 3D no fan Box,20499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/34425_0-01JVA6VQ6JYE5R07ANJH4DTX6M.webp,setec,yes
Intel i7-14700 BOX LGA1700X 33MB Cache 5.4GHz,20499,https://setec-pos-web.fra1.cdn.digitaloceanspaces.com/63748_Intel i7-14700 BOX LGA1700X 33MB Cache 5.4GHz-01K76E0T8EWSGA6890S34E6P3G.jpg,setec,no
